ADA,Cardano
AION,Aion
BAT,Basic-Attention-Token
BCC,BitConnect
BCH,Bitcoin-Cash
BNB,Binance-Coin
BNT,Bancor-Network-Token
BTC,Bitcoin
BTS,BitShares
CTXC,Cortex
CVC,Civic
DASH,Dash
DATA,DATAcoin
DENT,Dent
DOGE,DogeCoin
ENJ,Enjin-Coin
EOS,EOS
ETC,Ethereum-Classic
ETH,Ethereum
FUN,FunFair
GTO,Gifto
ICX,ICON
IOST,IOStoken
IOTA,IOTA
IOTX,IoTeX
LEND,EthLend
LINK,ChainLink
LSK,Lisk
LTC,Litecoin
MCO,Monaco
MITH,Mithril
NANO,Nano
NEO,NEO
NPXS,Pundi-X-Token
NULS,Nuls
OMG,OmiseGo
ONT,Ontology
QTUM,Qtum
STORM,Storm
STRAT,Stratis
STX,Stox
THETA,Theta-Token
TRX,Tronix
TUSD,TrueUSD
VEN,VeChain
WAN,Wanchain
WAVES,Waves
WTC,Walton
XLM,Stellar
XMR,Monero
XRP,Ripple
XTZ,Tezos
XZC,ZCoin
ZEC,Zcash
ZIL,Zilliqa
ZRX,0x
